date,region_id,type_id,average,lowest,highest,volume,order_count
2020-03-30,10000043,32458,549992000,549992000,549992000,1,1
2020-03-30,10000043,32459,12424.61,119.5,111100,9,9
2020-03-30,10000043,32772,1696014.29,1500000,2997000,70,28
2020-03-30,10000043,32774,123864.27,100499.99,136000,70,14
2020-03-30,10000043,32780,6527411.76,2230000,6800000,17,15
2020-03-30,10000043,32782,45.41,45.41,45.41,3130,3
2020-03-30,10000043,32783,120000,120000,120000,1,1
2020-03-30,10000043,32787,29850,17488.98,29860,580,99
2020-03-30,10000043,32797,500000,500000,500000,2,2
2020-03-30,10000043,32811,363000000,363000000,363000000,1,1
2020-03-30,10000043,32817,609977.48,609000,610954.96,2,2
2020-03-30,10000043,32819,628521.43,624900,726000,28,17
2020-03-30,10000043,32853,31000001.2,31000001.2,31000001.2,1,1
2020-03-30,10000043,32858,360666.66,351000,379999.98,3,3
2020-03-30,10000043,32859,70000,70000,70000,2,2
2020-03-30,10000043,32860,185000,185000,185000,1,1
2020-03-30,10000043,32861,300000,300000,300000,2,2
2020-03-30,10000043,32862,2750000,2750000,2750000,1,1
2020-03-30,10000043,32863,2800000,2800000,2800000,1,1
2020-03-30,10000043,32865,799000.04,799000.04,799000.04,1,1
2020-03-30,10000043,32866,400000,400000,400000,1,1
2020-03-30,10000043,32867,123000,123000,123000,1,1
2020-03-30,10000043,32868,490000.03,490000.03,490000.03,1,1
2020-03-30,10000043,32869,2480000,2480000,2480000,1,1
2020-03-30,10000043,32870,5600000.06,5600000.06,5600000.06,2,2
2020-03-30,10000043,32871,2120000,2120000,2120000,2,2
2020-03-30,10000043,32872,881500,603700,999450,34,17
2020-03-30,10000043,32873,9500000,9500000,9500000,1,1
2020-03-30,10000043,32874,1132061.36,790000,1225000,44,37
2020-03-30,10000043,32875,9511912.51,9023825,10000000.01,2,2
2020-03-30,10000043,32876,2574527.27,802400,2988000,11,10
2020-03-30,10000043,32877,9555000,9555000,9555000,1,1
2020-03-30,10000043,32878,1095000,1095000,1095000,17,7
2020-03-30,10000043,32879,8800000,8800000,8800000,2,2
2020-03-30,10000043,32880,414400,275000,447500,354,172
2020-03-30,10000043,32881,4368130.43,4288000,4488000,23,13
2020-03-30,10000043,32918,25050.85,101.7,50000,2,2
2020-03-30,10000043,32982,20000000,20000000,20000000,1,1
2020-03-30,10000043,32993,75.13,75.13,75.13,250,1
2020-03-30,10000043,32999,257475,250000,289899.99,4,4
2020-03-30,10000043,33000,264499.99,250000,278999.98,2,2
2020-03-30,10000043,33001,275000,250000,300000,2,2
2020-03-30,10000043,33002,245000,240000,250000,4,4
2020-03-30,10000043,33003,388852.46,55030,742000,24,8
2020-03-30,10000043,33004,5490000,5490000,5490000,1,1
2020-03-30,10000043,33006,1350000,1350000,1350000,2,2
2020-03-30,10000043,33007,846342.22,30020,1499000,9,6
2020-03-30,10000043,33008,880000,880000,880000,1,1
2020-03-30,10000043,33009,140566.24,4017,194000,71,12
2020-03-30,10000043,33010,460000.03,460000.03,460000.03,1,1
2020-03-30,10000043,33011,602.4,602.4,602.4,1,1
2020-03-30,10000043,33012,189999.99,189999.99,189999.99,1,1
2020-03-30,10000043,33030,9500000,9500000,9500000,1,1
2020-03-30,10000043,33061,1.02,1.02,1.02,1,1
2020-03-30,10000043,33062,521100,521100,521100,1,1
2020-03-30,10000043,33076,89750,87500,89790,249,145
2020-03-30,10000043,33078,1000000,1000000,1000000,2,2
2020-03-30,10000043,33091,78776.68,20000.04,100000,9,9
2020-03-30,10000043,33092,99915,98490,100000,6,6
2020-03-30,10000043,33093,116666.67,100000,150000,3,3
